,conNum,cureNum,deathNum,mapName,name,susNum
0,108,41,3,万州区,万州,0
1,2,2,0,黔江区,黔江,0
2,3,2,0,涪陵区,涪陵,0
3,20,12,0,渝中区,渝中,0
4,7,5,0,大渡口区,大渡口,0
5,28,5,0,江北区,江北,0
6,8,1,0,沙坪坝区,沙坪坝,0
7,20,10,1,九龙坡区,九龙坡,0
8,15,3,0,南岸区,南岸,0
9,16,7,0,渝北区,渝北,0
10,6,2,0,巴南区,巴南,0
11,21,9,0,长寿区,长寿,0
12,4,3,0,江津区,江津,0
13,23,7,0,合川区,合川,0
14,5,2,0,永川区,永川,0
15,23,7,0,綦江区,綦江,0
16,14,5,0,大足区,大足,0
17,9,6,0,璧山区,璧山,0
18,9,3,0,铜梁区,铜梁,0
19,18,2,0,潼南区,潼南,0
20,9,4,0,荣昌区,荣昌,0
21,20,13,1,开州区,开州,0
22,4,4,0,梁平区,梁平,0
23,1,1,0,武隆区,武隆,0
24,2,2,0,城口县,城口,0
25,10,3,0,丰都县,丰都,0
26,20,6,0,垫江县,垫江,0
27,20,12,0,忠县,忠县,0
28,25,17,0,云阳县,云阳,0
29,20,7,0,奉节县,奉节,0
30,10,6,0,巫山县,巫山,0
31,13,9,0,巫溪县,巫溪,0
32,14,8,0,石柱土家族自治县,石柱,0
33,1,1,0,秀山土家族苗族自治县,秀山,0
34,1,0,0,酉阳土家族苗族自治县,酉阳,0
35,2,0,0,彭水苗族土家族自治县,彭水,0
36,17,7,0,,两江新区,0
37,4,1,0,,高新区,0
38,1,0,0,,万盛,0
39,0,0,0,,未明确地区,0
