,cureNum,deathNum,name,susNum,value
0,8101,1524,中国,8969,66576
1,14,0,泰国,0,34
2,1,0,德国,3,16
3,2,1,日本,0,326
4,3,0,阿联酋,0,8
5,4,0,越南,0,16
6,5,0,澳大利亚,0,15
7,9,0,韩国,0,28
8,1,0,美国,0,15
9,7,0,马来西亚,4,21
10,0,0,比利时,0,1
11,0,0,西班牙,0,2
12,2,0,俄罗斯,0,2
13,1,0,柬埔寨,0,1
14,3,0,印度,0,3
15,0,0,斯里兰卡,0,1
16,17,0,新加坡,0,67
17,1,1,菲律宾,31,3
18,0,0,墨西哥,2,0
19,0,0,巴西,1,0
20,0,0,哥伦比亚,1,0
21,0,0,英国,5,9
22,0,0,意大利,2,3
23,2,0,加拿大,9,8
24,1,0,芬兰,0,1
25,0,0,尼泊尔,2,1
26,0,0,法国,0,11
27,0,0,科特迪瓦,1,0
28,0,0,瑞士,2,0
29,0,0,以色列,2,0
30,0,0,厄瓜多尔,1,0
31,0,0,瑞典,0,1
32,0,0,埃及,0,1
